year;Y;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12;R13;R14;R15;R16;R17;R18;R19;R20;R21;R22;R23
2015;1;1,772397276;2,016132457;0,960753205;0,147865413;0,698240079;1,213843334;0,366289268;0,524589291;1,040850027;7,152730832;73,14506826;1;0,268549317;3,723710825;0,268549317;0,889943624;0,775422395;7,142727998;2,61630461;9,742361797;0,026163046;0,086701528;0,074345086
2014;1;1,898750863;2,230316743;1,218154161;0,253432924;0,69268082;1,020684766;0,313676006;0,452843498;0,82091416;3,985214001;71,72113282;1;0,282788672;3,536209543;0,282788672;0,920179052;0,910532372;9,435440293;2,959671222;10,46601762;0,029596712;0,096306102;0,077456865
2013;1;2,145049585;2,645975799;1,683373428;0,110040344;0,664584862;0,73219186;0,245588233;0,369536303;0,594045256;8,885687594;71,92453355;1;0,280754665;3,561828622;0,280754665;0,837036356;1,117795619;9,772512534;2,400014089;8,548438875;0,024000141;0,071553541;0,058053147
2012;1;2,792026879;3,116356922;1,361261549;0,235205392;0,663700168;0,538387319;0,331109827;0,498884652;0,734612684;6,60997872;77,16670305;1;0,22833297;4,379569022;0,22833297;0,371271297;1,072121214;11,14104508;3,688909513;16,15583383;0,036889095;0,059981974;0,08184353
2011;1;2,749895517;3,009316626;1,087003543;0,257086825;0,670047671;0,625109443;0,411580922;0,614256179;0,919960203;7,190144151;78,74283186;1;0,212571681;4,704295479;0,212571681;0,322854045;0,954701468;14,69601422;6,048599085;28,45439733;0,060485991;0,091866173;0,135197482
2018;1;0,573289566;1,192900699;0,181871221;0,119215634;0,759110792;2,80190462;0,674948586;0,889130537;5,498396042;8,896856948;63,63570683;1;0,363642932;2,74995033;0,363642932;1,509585814;0,571444791;3,879648113;2,618563009;7,20091821;0,02618563;0,10870404;0,213318418
2017;1;0,654475448;1,221383712;0,200534589;0,142320827;0,754190895;2,773240723;0,68168782;0,903866414;4,9866709;7,756895039;82,68311756;1;0,173168824;5,774711489;0,173168824;0,704484988;0,280440381;6,708897011;4,573373378;26,40991179;0,045733734;0,186053864;0,334550615
2016;1;0,653787857;1,14736525;0,12861484;0,139339024;0,726793235;2,656572894;0,725793687;0,998624716;7,775152551;8,223017947;80,4736932;1;0,195263068;5,121296158;0,195263068;0,714708026;0,308255564;2,976309418;2,160186588;11,06295527;0,021601866;0,079067829;0,231412598
2015;1;0,51245756;1,205564221;0,175480962;0,127705292;0,699312905;2,259872425;0,679514475;0,97168874;5,698623886;9,172941513;75,97665544;1;0,240233446;4,16261773;0,240233446;0,798948306;0,414144862;5,801761218;3,94238073;16,41062392;0,039423807;0,131112402;0,330620551
2014;1;0,609633309;1,175468104;0,20502588;0,221250937;0,755448156;2,249118688;0,550026122;0,728079243;4,877433029;3,868159571;79,01577763;1;0,209842224;4,765485146;0,209842224;0,858068459;0,326511937;5,023789401;2,763215401;13,16806195;0,027632154;0,112990986;0,245031964
2013;1;0,570273883;1,227804497;0,310450848;0,160283998;0,761055575;1,903529851;0,454837845;0,597640777;3,221121815;4,578036757;96,90574244;1;0,030942576;32,31793023;0,030942576;0,129496956;0,049919394;3,123317939;1,420603202;45,91095517;0,014206032;0,059453289;0,100605875
2012;1;0,496994512;1,226735478;0,303228941;0,057998687;0,708352208;1,480432003;0,431764724;0,609533957;3,297838245;12,89230788;76,87132232;1;0,231286777;4,323636715;0,231286777;0,793034556;0,400546072;6,510154012;2,810854853;12,15311524;0,028108549;0,096378403;0,214694349
2011;1;0,851146057;1,364132946;0,584258144;0,152869867;0,861919722;1,730626169;0,393790577;0,456876165;1,711572204;4,076930542;80,90988583;1;0,190901142;5,238313354;0,190901142;0,838970079;0,302133169;6,198063958;2,440739184;12,78535666;0,024407392;0,107265317;0,10608434
2018;1;1,0526819;1,856398821;0,230958677;0,230566351;0,821826308;9,213124787;1,641536461;1,997425059;4,329778876;16,08221458;88,07141572;1;0,119285843;8,3832245;0,119285843;0,669491894;0,269451216;3,373585191;5,537863096;46,42514959;0,055378631;0,310812613;0,146068779
2017;1;1,204483655;1,934474986;0,24861087;0,241770084;0,795935036;7,578680946;1,546543257;1,943052118;4,022350276;15,54694301;91,66245829;1;0,083375417;11,993943;0,083375417;0,408572914;0,202639225;5,562712165;8,602974988;103,1835916;0,08602975;0,421580207;0,223751768
2016;1;1,500044329;2,590902844;0,286752729;0,373929055;0,793898908;8,248403208;1,700004908;2,141336751;3,487325136;14,83702698;85,81898095;1;0,141810191;7,051679404;0,141810191;0,688061326;0,462800014;5,868969763;9,977277402;70,35656157;0,099772774;0,48409629;0,204670058
2015;1;1,132986901;2,016930635;0,223990855;0,149831146;0,77165917;7,606975644;1,736983134;2,250971934;4,464467975;30,30113805;89,25256838;1;0,107474316;9,304548617;0,107474316;0,470674982;0,280911896;5,798317576;10,07157983;93,71150422;0,100715798;0,441076606;0,258864031
2014;1;1,097140447;1,717709991;0,21533836;0,306733955;0,7993917;7,73194021;1,551091381;1,940339612;4,643854451;10,86590085;86,73991595;1;0,13260084;7,541430329;0,13260084;0,66099379;0,284928888;2,462759523;3,81996507;28,80800043;0,038199651;0,190419094;0,114366968
2013;1;1,185433972;1,936489704;0,209820396;0,295820821;0,755998537;7,141157927;1,74245298;2,304836445;4,765980901;15,08782253;85,40177464;1;0,145982254;6,850147711;0,145982254;0,598284338;0,373933437;6,376008352;11,10989475;76,10442012;0,111098948;0,455320826;0,30387934
2012;1;1,36359286;2,122025255;0,204818371;0,547953682;0,761773975;8,255057537;1,966569539;2,581565664;4,88237454;9,997464605;86,2758252;1;0,137241748;7,286412584;0,137241748;0,576098889;0,382305598;10,35432847;20,36250696;148,369627;0,20362507;0,854755773;0,505537097
2011;1;1,533099119;1,985715743;0,176668045;0,588714028;0,735987488;7,832899128;2,067983374;2,809807785;5,660333209;9,477402082;83,78507723;1;0,162149228;6,167158576;0,162149228;0,614172512;0,437483353;7,655557446;15,83156552;97,63577504;0,158315655;0,599652092;0,43333006
